ตารางแสดงปริมาณ น้ำมันแก๊สโซฮอล์อี 10 ออกเทน 95 ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
สาขา ราชการและรัฐวิสาหกิจ,,,,,,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,ปตท. ค้าปลีก,น้ำมัน ไออาร์พีซี,ไออาร์พีซี,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
,กรุงเทพฯ และปริมณฑล,505,,7,,,,,,,,,,,512
1,กรุงเทพมหานคร,255,,7,,,,,,,,,,,262
2,สมุทรปราการ,38,,,,,,,,,,,,,38
3,นนทบุรี,212,,,,,,,,,,,,,212
4,ปทุมธานี,,,,,,,,,,,,,,
,ภาคกลาง,,,,,,,,,,,,,,
5,พระนครศรีอยุธยา,,,,,,,,,,,,,,
6,อ่างทอง,,,,,,,,,,,,,,
7,ลพบุรี,,,,,,,,,,,,,,
8,สิงห์บุรี,,,,,,,,,,,,,,
9,ชัยนาท,,,,,,,,,,,,,,
10,สระบุรี,,,,,,,,,,,,,,
,ภาคตะวันออก,99,,,,,,,,,,,,,99
11,ชลบุรี,96,,,,,,,,,,,,,96
12,ระยอง,,,,,,,,,,,,,,
13,จันทบุรี,,,,,,,,,,,,,,
14,ตราด,,,,,,,,,,,,,,
15,ฉะเชิงเทรา,3,,,,,,,,,,,,,3
16,ปราจีนบุรี,,,,,,,,,,,,,,
17,นครนายก,,,,,,,,,,,,,,
18,สระแก้ว,,,,,,,,,,,,,,
,ภาคตะวันออกเฉียงเหนือ,36,,,,,,,,,,,,,36
,ภาคตะวันออกเฉียงเหนือตอนบน,27,,,,,,,,,,,,,27
19,ขอนแก่น,,,,,,,,,,,,,,
20,อุดรธานี,,,,,,,,,,,,,,
21,เลย,,,,,,,,,,,,,,
22,หนองคาย,8,,,,,,,,,,,,,8
23,มหาสารคาม,,,,,,,,,,,,,,
24,ร้อยเอ็ด,,,,,,,,,,,,,,
25,กาฬสินธุ์,,,,,,,,,,,,,,
26,สกลนคร,,,,,,,,,,,,,,
27,นครพนม,16,,,,,,,,,,,,,16
